,2020-CNP ASSURANCES-Annual,2020-CNP ASSURANCES-CSR,max
Biodiversity and Land Use,14,133,133
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,2,2
Financing Environmental Impact,3,3,3
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,1,1
Packaging Material and Waste,5,40,40
Product Carbon Footprint,0,3,3
Raw Material Sourcing,4,1,4
Toxic Emissions and Waste,0,0,0
Water Stress,3,40,40
Accounting,0,0,0
Board,0,0,0
Business Ethics,13,68,68
Ownership and Control,0,0,0
Pay,1,0,1
Tax Transparency,0,0,0
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,1,1
Chemical Safety,0,1,1
Community Relations,21,49,49
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,16,90,90
Human Capital Development,7,44,44
Labor Management,32,192,192
Opportunities in Nutrition and Health,1,0,1
Privacy and Data Security,6,88,88
Product Safety and Quality,13,143,143
Responsible Investment,0,0,0
Supply Chain Labor Standards,20,98,98
Not ESG,76,358,358
