,2020-COMMONWEALTH BANK OF AUSTRALIA-Annual,max
Biodiversity and Land Use,101,101
Carbon Emissions,1,1
Climate Change Vulnerability,1,1
Electronic Waste,7,7
Financing Environmental Impact,20,20
Opportunities in Clean Tech,1,1
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,6,6
Packaging Material and Waste,24,24
Product Carbon Footprint,3,3
Raw Material Sourcing,2,2
Toxic Emissions and Waste,0,0
Water Stress,48,48
Accounting,2,2
Board,1,1
Business Ethics,131,131
Ownership and Control,5,5
Pay,0,0
Tax Transparency,7,7
Access to Communications,0,0
Access to Finance,4,4
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,267,267
Controversial Sourcing,0,0
Financial Product Safety,2,2
Health and Demographic Risk,0,0
Health and Safety,131,131
Human Capital Development,179,179
Labor Management,332,332
Opportunities in Nutrition and Health,16,16
Privacy and Data Security,105,105
Product Safety and Quality,104,104
Responsible Investment,0,0
Supply Chain Labor Standards,140,140
Not ESG,2089,2089
