,2020-DELL TECHNOLOGIES-10K,max
Biodiversity and Land Use,17,17
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,20,20
Opportunities in Clean Tech,1,1
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,24,24
Product Carbon Footprint,0,0
Raw Material Sourcing,5,5
Toxic Emissions and Waste,0,0
Water Stress,7,7
Accounting,0,0
Board,0,0
Business Ethics,71,71
Ownership and Control,3,3
Pay,0,0
Tax Transparency,14,14
Access to Communications,0,0
Access to Finance,6,6
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,93,93
Controversial Sourcing,0,0
Financial Product Safety,1,1
Health and Demographic Risk,0,0
Health and Safety,27,27
Human Capital Development,83,83
Labor Management,93,93
Opportunities in Nutrition and Health,5,5
Privacy and Data Security,239,239
Product Safety and Quality,141,141
Responsible Investment,1,1
Supply Chain Labor Standards,213,213
Not ESG,1807,1807
