,2020-GS CALTEX-Sustainability,max
Biodiversity and Land Use,109,109
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,1,1
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,3,3
Packaging Material and Waste,70,70
Product Carbon Footprint,0,0
Raw Material Sourcing,1,1
Toxic Emissions and Waste,2,2
Water Stress,57,57
Accounting,0,0
Board,0,0
Business Ethics,50,50
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,35,35
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,1,1
Health and Safety,75,75
Human Capital Development,43,43
Labor Management,75,75
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,42,42
Product Safety and Quality,64,64
Responsible Investment,0,0
Supply Chain Labor Standards,33,33
Not ESG,137,137
