,2020-HEWLETT PACKARD ENTERPRISE-10K,2020-HEWLETT PACKARD ENTERPRISE-CSR,2020-HEWLETT PACKARD ENTERPRISE-ESG,max
Biodiversity and Land Use,19,100,100,100
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,3,2,2,3
Financing Environmental Impact,13,0,0,13
Opportunities in Clean Tech,3,2,2,3
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,0,11,11,11
Packaging Material and Waste,33,68,68,68
Product Carbon Footprint,0,0,0,0
Raw Material Sourcing,1,2,2,2
Toxic Emissions and Waste,0,0,0,0
Water Stress,5,86,86,86
Accounting,1,0,0,1
Board,0,0,0,0
Business Ethics,79,52,52,79
Ownership and Control,1,0,0,1
Pay,0,0,0,0
Tax Transparency,199,0,0,199
Access to Communications,3,0,0,3
Access to Finance,6,0,0,6
Access to Health Care,0,0,0,0
Chemical Safety,0,0,0,0
Community Relations,107,108,108,108
Controversial Sourcing,0,0,0,0
Financial Product Safety,1,0,0,1
Health and Demographic Risk,0,1,1,1
Health and Safety,25,54,54,54
Human Capital Development,79,121,121,121
Labor Management,131,45,45,131
Opportunities in Nutrition and Health,7,1,1,7
Privacy and Data Security,140,182,182,182
Product Safety and Quality,139,35,35,139
Responsible Investment,0,0,0,0
Supply Chain Labor Standards,189,111,111,189
Not ESG,1357,125,125,1357
