,2020-HON HAI PRECISION INDUSTRY-CSR,2020-HON HAI PRECISION INDUSTRY-Annual,max
Biodiversity and Land Use,134,98,134
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,208,208
Financing Environmental Impact,1,29,29
Opportunities in Clean Tech,1,9,9
Opportunities in Green Building,0,2,2
Opportunities in Renewable Energy,3,10,10
Packaging Material and Waste,62,136,136
Product Carbon Footprint,2,9,9
Raw Material Sourcing,2,118,118
Toxic Emissions and Waste,1,5,5
Water Stress,57,47,57
Accounting,0,3,3
Board,0,1,1
Business Ethics,54,88,88
Ownership and Control,0,26,26
Pay,0,0,0
Tax Transparency,1,11,11
Access to Communications,1,1,1
Access to Finance,0,10,10
Access to Health Care,0,0,0
Chemical Safety,1,18,18
Community Relations,77,133,133
Controversial Sourcing,0,1,1
Financial Product Safety,1,8,8
Health and Demographic Risk,1,2,2
Health and Safety,138,73,138
Human Capital Development,92,64,92
Labor Management,219,1365,1365
Opportunities in Nutrition and Health,3,22,22
Privacy and Data Security,47,160,160
Product Safety and Quality,138,361,361
Responsible Investment,0,16,16
Supply Chain Labor Standards,123,193,193
Not ESG,202,3473,3473
