,2020-HP-10K,2020-HP-Annual,2020-HP-Sustainability,max
Biodiversity and Land Use,27,61,322,322
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,3,13,0,13
Financing Environmental Impact,12,14,0,14
Opportunities in Clean Tech,0,1,1,1
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,0,3,3,3
Packaging Material and Waste,72,88,287,287
Product Carbon Footprint,0,0,1,1
Raw Material Sourcing,4,6,1,6
Toxic Emissions and Waste,0,0,0,0
Water Stress,11,13,91,91
Accounting,1,1,0,1
Board,0,1,0,1
Business Ethics,88,146,135,146
Ownership and Control,1,2,0,2
Pay,0,0,0,0
Tax Transparency,125,13,0,125
Access to Communications,0,1,0,1
Access to Finance,0,4,0,4
Access to Health Care,0,0,0,0
Chemical Safety,1,3,0,3
Community Relations,118,186,164,186
Controversial Sourcing,0,1,0,1
Financial Product Safety,2,5,0,5
Health and Demographic Risk,0,3,0,3
Health and Safety,22,53,59,59
Human Capital Development,87,331,132,331
Labor Management,107,259,224,259
Opportunities in Nutrition and Health,3,14,1,14
Privacy and Data Security,117,159,141,159
Product Safety and Quality,172,189,163,189
Responsible Investment,0,3,0,3
Supply Chain Labor Standards,220,273,266,273
Not ESG,1081,1790,284,1790
