,2020-INDIAN OIL-Annual,max
Biodiversity and Land Use,192,192
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,41,41
Financing Environmental Impact,62,62
Opportunities in Clean Tech,14,14
Opportunities in Green Building,1,1
Opportunities in Renewable Energy,16,16
Packaging Material and Waste,196,196
Product Carbon Footprint,10,10
Raw Material Sourcing,14,14
Toxic Emissions and Waste,3,3
Water Stress,327,327
Accounting,16,16
Board,0,0
Business Ethics,119,119
Ownership and Control,6,6
Pay,0,0
Tax Transparency,16,16
Access to Communications,0,0
Access to Finance,7,7
Access to Health Care,0,0
Chemical Safety,8,8
Community Relations,114,114
Controversial Sourcing,1,1
Financial Product Safety,9,9
Health and Demographic Risk,2,2
Health and Safety,122,122
Human Capital Development,92,92
Labor Management,714,714
Opportunities in Nutrition and Health,18,18
Privacy and Data Security,85,85
Product Safety and Quality,137,137
Responsible Investment,5,5
Supply Chain Labor Standards,184,184
Not ESG,2777,2777
