,2020-NORTHWESTERN MUTUAL-Annual,max
Biodiversity and Land Use,2,2
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,1,1
Financing Environmental Impact,9,9
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,2,2
Packaging Material and Waste,0,0
Product Carbon Footprint,0,0
Raw Material Sourcing,2,2
Toxic Emissions and Waste,4,4
Water Stress,0,0
Accounting,1,1
Board,0,0
Business Ethics,17,17
Ownership and Control,0,0
Pay,1,1
Tax Transparency,3,3
Access to Communications,1,1
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,45,45
Controversial Sourcing,1,1
Financial Product Safety,0,0
Health and Demographic Risk,1,1
Health and Safety,8,8
Human Capital Development,46,46
Labor Management,57,57
Opportunities in Nutrition and Health,8,8
Privacy and Data Security,25,25
Product Safety and Quality,4,4
Responsible Investment,4,4
Supply Chain Labor Standards,23,23
Not ESG,123,123
