,2020-SUNCOR ENERGY-Sustainability,2020-SUNCOR ENERGY-Annual,max
Biodiversity and Land Use,491,122,491
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,3,406,406
Financing Environmental Impact,2,32,32
Opportunities in Clean Tech,8,58,58
Opportunities in Green Building,0,13,13
Opportunities in Renewable Energy,26,20,26
Packaging Material and Waste,124,43,124
Product Carbon Footprint,6,6,6
Raw Material Sourcing,6,78,78
Toxic Emissions and Waste,3,8,8
Water Stress,349,107,349
Accounting,0,0,0
Board,0,0,0
Business Ethics,54,26,54
Ownership and Control,0,2,2
Pay,0,0,0
Tax Transparency,1,15,15
Access to Communications,0,1,1
Access to Finance,0,4,4
Access to Health Care,0,0,0
Chemical Safety,0,6,6
Community Relations,156,70,156
Controversial Sourcing,0,3,3
Financial Product Safety,1,8,8
Health and Demographic Risk,0,3,3
Health and Safety,84,30,84
Human Capital Development,45,40,45
Labor Management,67,167,167
Opportunities in Nutrition and Health,2,125,125
Privacy and Data Security,38,34,38
Product Safety and Quality,40,42,42
Responsible Investment,1,14,14
Supply Chain Labor Standards,97,88,97
Not ESG,255,1080,1080
