,2020-TEL-Annual,2020-TEL-Sustainability,max
Biodiversity and Land Use,6,53,53
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,7,1,7
Financing Environmental Impact,1,0,1
Opportunities in Clean Tech,0,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,1,1
Packaging Material and Waste,7,32,32
Product Carbon Footprint,0,1,1
Raw Material Sourcing,5,2,5
Toxic Emissions and Waste,0,1,1
Water Stress,6,22,22
Accounting,0,1,1
Board,0,0,0
Business Ethics,29,32,32
Ownership and Control,4,0,4
Pay,0,0,0
Tax Transparency,10,0,10
Access to Communications,0,0,0
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,0,1,1
Community Relations,8,48,48
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,17,57,57
Human Capital Development,9,36,36
Labor Management,79,98,98
Opportunities in Nutrition and Health,1,0,1
Privacy and Data Security,18,28,28
Product Safety and Quality,44,136,136
Responsible Investment,1,0,1
Supply Chain Labor Standards,13,38,38
Not ESG,286,144,286
